domain,precision,recall,mAP50,mAP50_95
blurred,0.8359924781308263,0.7005845754004345,0.8430911165925183,0.6300479510581463
deblurred,0.7748198357047005,0.7765348088710692,0.8328406301825206,0.622303455285772
sharp,0.8965005519107256,0.666499020654784,0.8121492995360137,0.6339078462084039
